,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
37,34115533,2015-12-06 08:35:10.283,10126.0,2.0,6.0,1.0,0,"[('0', Timestamp('2015-12-06 08:35:10.283000'))]",2015-12-06 08:35:10.283000,2015-12-06 08:35:10.283000,0.0,0.0
38,34159119,2015-12-08 15:01:39.677,25132.0,4.0,14.0,3.0,0,"[('0', Timestamp('2015-12-08 15:01:39.677000'))]",2015-12-08 15:01:39.677000,2015-12-08 15:01:39.677000,0.0,0.0
39,34230275,2015-12-11 18:33:12.950,4359.0,7.0,3.0,1.0,34230975,"[('34230975', Timestamp('2015-12-11 18:33:12.950000'))]",2015-12-11 18:33:12.950000,2015-12-11 18:33:12.950000,0.0,0.0
40,34297788,2015-12-15 19:30:34.280,15950.0,1.0,17.0,10.0,0,"[('0', Timestamp('2015-12-15 19:30:34.280000'))]",2015-12-15 19:30:34.280000,2015-12-15 19:30:34.280000,0.0,0.0
41,34312259,2015-12-16 12:36:34.873,1859.0,0.0,7.0,1.0,34314864,"[('34314864', Timestamp('2015-12-16 12:36:34.873000'))]",2015-12-16 12:36:34.873000,2015-12-16 12:36:34.873000,0.0,0.0
42,34354131,2015-12-18 11:02:09.473,739.0,0.0,1.0,1.0,0,"[('0', Timestamp('2015-12-18 11:02:09.473000'))]",2015-12-18 11:02:09.473000,2015-12-18 11:02:09.473000,0.0,0.0
43,34360579,2015-12-18 17:07:43.750,1614.0,4.0,7.0,1.0,34476936,"[('34476936', Timestamp('2015-12-18 17:07:43.750000'))]",2015-12-18 17:07:43.750000,2015-12-18 17:07:43.750000,0.0,0.0
44,34427663,2015-12-23 02:23:29.897,10976.0,5.0,20.0,2.0,37901120,"[('37901120', Timestamp('2015-12-23 02:23:29.897000'))]",2015-12-23 02:23:29.897000,2015-12-23 02:23:29.897000,0.0,0.0
45,34456753,2015-12-24 18:43:56.657,6267.0,1.0,2.0,4.0,0,"[('0', Timestamp('2015-12-24 18:43:56.657000'))]",2015-12-24 18:43:56.657000,2015-12-24 18:43:56.657000,0.0,0.0
46,34479372,2015-12-27 10:01:21.557,4585.0,0.0,5.0,2.0,34480055,"[('34480055', Timestamp('2015-12-27 10:01:21.557000'))]",2015-12-27 10:01:21.557000,2015-12-27 10:01:21.557000,0.0,0.0
47,34521426,2015-12-30 00:51:28.930,2381.0,0.0,3.0,1.0,34521616,"[('34521616', Timestamp('2015-12-30 00:51:28.930000'))]",2015-12-30 00:51:28.930000,2015-12-30 00:51:28.930000,0.0,0.0
48,34558246,2016-01-01 17:19:21.590,3323.0,0.0,7.0,1.0,34558628,"[('34558628', Timestamp('2016-01-01 17:19:21.590000'))]",2016-01-01 17:19:21.590000,2016-01-01 17:19:21.590000,0.0,0.0
49,34581116,2016-01-03 20:15:38.203,331.0,2.0,2.0,1.0,34582975,"[('34582975', Timestamp('2016-01-03 20:15:38.203000'))]",2016-01-03 20:15:38.203000,2016-01-03 20:15:38.203000,0.0,0.0
50,34607345,2016-01-05 08:39:47.617,6840.0,0.0,6.0,3.0,0,"[('0', Timestamp('2016-01-05 08:39:47.617000'))]",2016-01-05 08:39:47.617000,2016-01-05 08:39:47.617000,0.0,0.0
51,34746304,2016-01-12 14:29:02.110,1283.0,4.0,1.0,3.0,0,"[('0', Timestamp('2016-01-12 14:29:02.110000'))]",2016-01-12 14:29:02.110000,2016-01-12 14:29:02.110000,0.0,0.0
52,34747717,2016-01-12 15:35:13.703,234.0,1.0,2.0,1.0,35118100,"[('35118100', Timestamp('2016-01-12 15:35:13.703000'))]",2016-01-12 15:35:13.703000,2016-01-12 15:35:13.703000,0.0,0.0
53,34823654,2016-01-16 04:54:25.513,78049.0,1.0,42.0,2.0,34830919,"[('34830919', Timestamp('2016-01-16 04:54:25.513000'))]",2016-01-16 04:54:25.513000,2016-01-16 04:54:25.513000,0.0,0.0
54,34872856,2016-01-19 09:21:54.153,1248.0,0.0,0.0,1.0,0,"[('0', Timestamp('2016-01-19 09:21:54.153000'))]",2016-01-19 09:21:54.153000,2016-01-19 09:21:54.153000,0.0,0.0
55,34965621,2016-01-23 16:03:31.543,365.0,1.0,0.0,1.0,0,"[('0', Timestamp('2016-01-23 16:03:31.543000'))]",2016-01-23 16:03:31.543000,2016-01-23 16:03:31.543000,0.0,0.0
56,35019009,2016-01-26 16:37:53.160,607.0,0.0,0.0,1.0,35021373,"[('35021373', Timestamp('2016-01-26 16:37:53.160000'))]",2016-01-26 16:37:53.160000,2016-01-26 16:37:53.160000,0.0,0.0
57,35030382,2016-01-27 06:39:02.830,2527.0,5.0,1.0,1.0,0,"[('0', Timestamp('2016-01-27 06:39:02.830000'))]",2016-01-27 06:39:02.830000,2016-01-27 06:39:02.830000,0.0,0.0
58,35048136,2016-01-27 21:14:08.463,972.0,2.0,4.0,2.0,0,"[('0', Timestamp('2016-01-27 21:14:08.463000'))]",2016-01-27 21:14:08.463000,2016-01-27 21:14:08.463000,0.0,0.0
59,35054082,2016-01-28 06:14:36.107,231948.0,1.0,121.0,8.0,38665897,"[('38665897', Timestamp('2016-01-28 06:14:36.107000'))]",2016-01-28 06:14:36.107000,2016-01-28 06:14:36.107000,0.0,0.0
60,35060512,2016-01-28 11:39:39.937,3816.0,0.0,12.0,3.0,0,"[('0', Timestamp('2016-01-28 11:39:39.937000'))]",2016-01-28 11:39:39.937000,2016-01-28 11:39:39.937000,0.0,0.0
61,35076657,2016-01-29 04:02:11.977,1950.0,0.0,0.0,1.0,0,"[('0', Timestamp('2016-01-29 04:02:11.977000'))]",2016-01-29 04:02:11.977000,2016-01-29 04:02:11.977000,0.0,0.0
62,35122717,2016-02-01 03:46:27.827,22537.0,1.0,4.0,2.0,0,"[('0', Timestamp('2016-02-01 03:46:27.827000'))]",2016-02-01 03:46:27.827000,2016-02-01 03:46:27.827000,0.0,0.0
63,35125433,2016-02-01 07:53:59.287,1548.0,4.0,2.0,1.0,0,"[('0', Timestamp('2016-02-01 07:53:59.287000'))]",2016-02-01 07:53:59.287000,2016-02-01 07:53:59.287000,0.0,0.0
64,35126893,2016-02-01 09:24:52.783,352.0,0.0,1.0,2.0,35128410,"[('35128410', Timestamp('2016-02-01 09:24:52.783000'))]",2016-02-01 09:24:52.783000,2016-02-01 09:24:52.783000,0.0,0.0
65,35131367,2016-02-01 13:08:51.810,9232.0,0.0,18.0,1.0,35137521,"[('35137521', Timestamp('2016-02-01 13:08:51.810000'))]",2016-02-01 13:08:51.810000,2016-02-01 13:08:51.810000,0.0,0.0
66,35254096,2016-02-07 13:29:38.707,990.0,0.0,0.0,1.0,0,"[('0', Timestamp('2016-02-07 13:29:38.707000'))]",2016-02-07 13:29:38.707000,2016-02-07 13:29:38.707000,0.0,0.0
67,35273956,2016-02-08 16:02:44.173,1847.0,0.0,4.0,1.0,35274173,"[('35274173', Timestamp('2016-02-08 16:02:44.173000'))]",2016-02-08 16:02:44.173000,2016-02-08 16:02:44.173000,0.0,0.0
68,35324660,2016-02-10 19:53:22.123,1384.0,5.0,1.0,1.0,35326831,"[('35326831', Timestamp('2016-02-10 19:53:22.123000'))]",2016-02-10 19:53:22.123000,2016-02-10 19:53:22.123000,0.0,0.0
69,35533099,2016-02-21 06:38:43.877,2091.0,0.0,5.0,1.0,0,"[('0', Timestamp('2016-02-21 06:38:43.877000'))]",2016-02-21 06:38:43.877000,2016-02-21 06:38:43.877000,0.0,0.0
70,35534537,2016-02-21 09:39:42.463,119.0,0.0,0.0,1.0,35555098,"[('35555098', Timestamp('2016-02-21 09:39:42.463000'))]",2016-02-21 09:39:42.463000,2016-02-21 09:39:42.463000,0.0,0.0
71,35586952,2016-02-23 19:55:47.523,359.0,3.0,2.0,1.0,0,"[('0', Timestamp('2016-02-23 19:55:47.523000'))]",2016-02-23 19:55:47.523000,2016-02-23 19:55:47.523000,0.0,0.0
